"calendarYear","metric","med","min","max"
2016-01-01,"RD",0,0,0
2016-01-01,"SA",0.0207587677961461,0.0207587677961461,0.0207587677961461
2016-01-01,"operatingMargin",0.55977093931184,0.55977093931184,0.55977093931184
2016-01-01,"ROE",0.0226581289978442,0.0226581289978442,0.0226581289978442
2016-01-01,"ROIC",0.0168305964515632,0.0168305964515632,0.0168305964515632
2016-01-01,"CAPEX",0,0,0
2016-01-01,"debt",0.262605763221442,0.262605763221442,0.262605763221442
2016-01-01,"netRepurchasesRevenue",4.44380820647315,4.44380820647315,4.44380820647315
2016-01-01,"netInterestExptoOpInc",-0.129156006175468,-0.129156006175468,-0.129156006175468
2017-01-01,"RD",0,0,0
2017-01-01,"SA",0.0336119509351096,0.0336119509351096,0.0336119509351096
2017-01-01,"operatingMargin",0,0,0
2017-01-01,"ROE",0,0,0
2017-01-01,"ROIC",0,0,0
2017-01-01,"CAPEX",0,0,0
2017-01-01,"debt",0.278858535416877,0.278858535416877,0.278858535416877
2017-01-01,"netRepurchasesRevenue",0.589542980539752,0.589542980539752,0.589542980539752
2017-01-01,"netInterestExptoOpInc",0,0,0
2018-01-01,"RD",NA,NA,NA
2018-01-01,"SA",NA,NA,NA
2018-01-01,"operatingMargin",NA,NA,NA
2018-01-01,"ROE",0,0,0
2018-01-01,"ROIC",0,0,0
2018-01-01,"CAPEX",NA,NA,NA
2018-01-01,"debt",0.293442096227527,0.293442096227527,0.293442096227527
2018-01-01,"netRepurchasesRevenue",NA,NA,NA
2018-01-01,"netInterestExptoOpInc",0,0,0
2019-01-01,"RD",0,0,0
2019-01-01,"SA",0.0428247314569363,0.0428247307938994,0.0428247321199732
2019-01-01,"operatingMargin",0.51332955190017,0.128332387975043,0.898326715825298
2019-01-01,"ROE",0.0370977659356426,0.00927444148391064,0.0649210903873745
2019-01-01,"ROIC",0.0271498642506788,0.00678746606266969,0.0475122624386878
2019-01-01,"CAPEX",0,0,0
2019-01-01,"debt",0.290853328999569,0.2908533277841,0.290853330215038
2019-01-01,"netRepurchasesRevenue",0,0,0
2019-01-01,"netInterestExptoOpInc",0.0461325966850829,0.0115331491712707,0.080732044198895
